,Actor Names,Actor Counts
0,Tim Roth,23
1,Amanda Plummer,5
2,Laura Lovelace,1
3,John Travolta,39
4,Andrew Garfield,7
5,Emma Stone,13
6,Jamie Foxx,20
7,Dane DeHaan,4
8,Tim Robbins,23
9,Morgan Freeman,39
10,Bob Gunton,6
11,William Sadler,9
12,Mark Hamill,13
13,Harrison Ford,36
14,Carrie Fisher,14
15,Peter Cushing,18
16,Michael J. Fox,21
17,Christopher Lloyd,21
18,Lea Thompson,10
19,Crispin Glover,9
20,Emilio Estevez,20
21,Paul Gleason,4
22,Anthony Michael Hall,7
23,John Kapelos,2
24,Sean Astin,19
25,Josh Brolin,20
26,Jeff Cohen,2
27,Corey Feldman,6
28,Jodie Foster,24
29,Lawrence A. Bonney,1
30,Kasi Lemmons,3
31,Lawrence T. Wrentz,1
32,Sam Neill,34
33,Laura Dern,15
34,Jeff Goldblum,26
35,Richard Attenborough,7
36,Rowan Atkinson,10
37,Matthew Broderick,26
38,Niketa Calame-Harris,1
39,Jim Cummings,11
40,Andrew Kevin Walker,1
41,Daniel Zacapa,1
42,Brad Pitt,35
43,Tom Hanks,35
44,Tim Allen,18
45,Don Rickles,1
46,Jim Varney,8
47,Jeff Bridges,45
48,John Goodman,39
49,Julianne Moore,33
50,Steve Buscemi,18
51,Tom Sizemore,11
52,Edward Burns,11
53,Barry Pepper,8
54,Edward Norton,17
55,Meat Loaf,2
56,Zach Grenier,3
57,Keanu Reeves,29
58,Laurence Fishburne,18
59,Carrie-Anne Moss,9
60,Hugo Weaving,6
61,Liam Neeson,34
62,Ewan McGregor,35
63,Natalie Portman,22
64,Jake Lloyd,1
65,Russell Crowe,28
66,Joaquin Phoenix,22
67,Connie Nielsen,8
68,Oliver Reed,16
69,Hugh Jackman,20
70,Patrick Stewart,20
71,Ian McKellen,24
72,Famke Janssen,14
73,Richard Harris,14
74,Maggie Smith,18
75,Robbie Coltrane,9
76,Saunders Triplets,1
77,Alan Howard,3
78,Noel Appleby,2
79,Sala Baker,2
80,Bruce Allpress,2
81,John Bach,3
82,Vin Diesel,19
83,Asia Argento,7
84,Marton Csokas,4
85,Samuel L. Jackson,52
86,Albert Brooks,12
87,Ellen DeGeneres,5
88,Alexander Gould,2
89,Willem Dafoe,35
90,Ali Astin,1
91,David Aston,1
92,Will Ferrell,24
93,Christina Applegate,13
94,Paul Rudd,24
95,Steve Carell,19
96,Lindsay Lohan,13
97,Rachel McAdams,18
98,Tina Fey,7
99,Tim Meadows,3
100,Jessica Alba,17
101,Devon Aoki,5
102,Alexis Bledel,10
