,Director,Director Counts
0,Quentin Tarantino,9
1,Marc Webb,4
2,Frank Darabont,5
3,George Lucas,5
4,Robert Zemeckis,19
5,John Hughes,8
6,Richard Donner,15
7,Jonathan Demme,16
8,Steven Spielberg,29
9,"Roger Allers, Rob Minkoff",1
10,David Fincher,9
11,John Lasseter,1
12,"Joel Coen, Ethan Coen",10
13,"Lana Wachowski, Lilly Wachowski",6
14,Ridley Scott,21
15,Bryan Singer,10
16,Chris Columbus,15
17,Peter Jackson,14
18,Rob Cohen,10
19,"Andrew Stanton, Lee Unkrich(co-director)",1
20,Adam McKay,5
21,Mark Waters,9
22,"Frank Miller, Robert Rodriguez, Quentin Tarantino",1
23,Christopher Nolan,9
24,Martin Scorsese,26
25,James McTeigue,3
26,Martin Campbell,11
27,Michael Bay,11
28,Jon Favreau,7
29,Marc Forster,8
30,Ben Stiller,5
31,Stephen Sommers,7
32,Todd Phillips,10
33,J.J. Abrams,6
34,Pierre Morel,4
35,"Pete Docter, Bob Peterson(co-director)",1
36,Gavin Hood,3
37,Ruben Fleischer,3
38,Roland Emmerich,12
39,James Cameron,10
40,"Pierre Coffin, Chris Renaud",2
41,Dennis Dugan,14
42,"Dean DeBlois, Chris Sanders",2
43,Matthew Vaughn,5
44,Robert Schwentke,6
45,Joseph Kosinski,2
46,Lee Unkrich,1
47,Nicolas Winding Refn,10
48,Justin Lin,8
49,David Yates,7
50,Neil Burger,5
51,Rob Marshall,6
52,Tate Taylor,1
53,Andrew Niccol,6
54,"Phil Lord, Christopher Miller",3
55,"Jon Hurwitz, Hayden Schlossberg",2
56,Joss Whedon,3
57,Peter Berg,7
58,Tony Gilroy,3
59,"Mark Andrews, Brenda Chapman, Steve Purcell(co-director)",1
60,Drew Goddard,2
61,Jay Roach,10
62,"Tom Tykwer, Lana Wachowski, Lilly Wachowski",1
63,Tim Burton,18
64,Pete Travis,4
65,David Ayer,6
66,Simon West,9
67,Anne Fletcher,5
68,Frank Coraci,6
69,Genndy Tartakovsky,1
70,Christopher McQuarrie,3
71,Andrew Stanton,2
72,Andrew Dominik,4
73,John Hillcoat,5
74,Ang Lee,11
75,Rian Johnson,4
76,Steven Soderbergh,21
77,Asger Leth,1
78,RZA,1
79,Paul Thomas Anderson,7
80,Barry Sonnenfeld,10
81,Andy Fickman,7
82,Nima Nourizadeh,1
83,Dan Bradley,1
84,Peter Ramsey,1
85,Oliver Stone,18
86,Martin McDonagh,2
87,Scott Derrickson,4
88,Sam Mendes,7
89,Rupert Sanders,2
90,Olivier Megaton,3
91,Seth MacFarlane,2
92,Sean Anders,2
93,Judd Apatow,5
94,Len Wiseman,4
95,Gus Van Sant,15
96,Rich Moore,1
97,Sam Raimi,14
98,John Moore,5
99,Danny Boyle,11
100,Harmony Korine,4
101,Don Scardino,2
102,Henry Alex Rubin,1
103,Jeff Nichols,4
104,Robert Redford,9
105,Antoine Fuqua,10
106,Derek Cianfrance,2
107,Jon M. Chu,4
108,"Kirk DeMicco, Chris Sanders",1
109,Michael Tiddes,2
110,Zack Snyder,9
111,Guillermo del Toro,7
112,Francis Lawrence,4
113,Gore Verbinski,10
114,James Mangold,11
115,Neill Blomkamp,3
116,M. Night Shyamalan,11
117,Shane Black,4
118,"Evan Goldberg, Seth Rogen",2
119,Alan Taylor,2
120,Louis Leterrier,5
121,Jeff Wadlow,2
122,Rob Zombie,6
123,Timo Vuorensola,1
124,J.A. Bayona,3
125,"Youssef Delara, Michael D. Olmos",1
126,Brandon Cronenberg,1
127,Joe Wright,6
128,Justin Price,1
129,Lenny Abrahamson,1
130,Fisher Stevens,1
131,David Jacobson,3
132,David Chase,1
133,Travis Fine,1
134,Steven C. Miller,2
135,Kyung Ho Lee,1
136,Troy Duffy,2
137,Brian Helgeland,4
138,Fede Alvarez,1
139,"Malcolm D. Lee, David Zucker",1
140,Allen Hughes,1
141,Kasper Barfoed,1
142,Andy Muschietti,1
143,David A. Armstrong,1
144,Noam Murro,2
145,Tyler Perry,13
146,"Nat Faxon, Jim Rash",1
147,Scott Stewart,3
148,"Robert Crombie, Sofya Skya",1
149,Thor Freudenthal,3
150,Sofia Coppola,5
151,Seth Gordon,5
152,Justin Zackham,2
153,Eran Creevy,1
154,Eli Dorsey,1
155,"Elizabeth Banks, Steven Brill, Steve Carr, Rusty Cundieff, James Duffy, Griffin Dunne, Peter Farrelly, Patrik Forsberg, Will Graham, James Gunn, Brett Ratner, Jonathan van Tulleken, Bob Odenkirk",1
156,Tom Elkins,1
157,Brad Anderson,8
158,Malik Bader,1
159,Tommy Wirkola,1
160,James DeMonaco,1
161,Ric Roman Waugh,2
162,Francis Ford Coppola,14
163,Milos Forman,8
164,Irvin Kershner,7
165,Brian De Palma,21
166,Richard Marquand,5
167,Ivan Reitman,15
168,John Milius,7
169,Stanley Kubrick,4
170,John McTiernan,10
171,Luc Besson,8
172,Michael Mann,10
173,Peter Weir,12
174,Mike Judge,3
175,"John Lasseter, Ash Brannon(co-director), Lee Unkrich(co-director)",1
176,Mary Harron,4
177,Keenen Ivory Wayans,6
178,Guy Ritchie,8
179,"Pete Docter, David Silverman(co-director), Lee Unkrich(co-director)",1
180,Brett Ratner,11
181,"Hayao Miyazaki, Kirk Wise",1
182,F. Gary Gray,7
183,Rawson Marshall Thurber,2
184,"Jeff Schaffer, Alec Berg(co-director), David Mandel(co-director)",1
185,Alfonso Cuarón,5
186,Brad Bird,4
187,Jared Hess,3
188,Edgar Wright,4
189,Paul Haggis,3
190,Andrew Adamson,3
191,Mike Newell,12
192,"John Lasseter, Joe Ranft(co-director)",1
193,Paul Greengrass,6
194,"Ethan Coen, Joel Coen",7
195,"Brad Bird, Jan Pinkava(co-director)",1
196,Greg Mottola,3
197,Doug Liman,9
198,Clint Eastwood,30
199,David Gordon Green,8
200,David Wain,5
201,Timur Bekmambetov,3
202,McG,5
203,Joe Carnahan,5
204,Darren Aronofsky,6
205,"Albert Hughes, Allen Hughes",4
206,Sylvester Stallone,8
207,Nicholas Stoller,3
208,Phillip Noyce,11
209,Ben Affleck,4
210,Jake Kasdan,4
211,Jonathan Liebesman,6
212,"John Lasseter, Bradford Lewis(co-director)",1
213,David Dobkin,6
214,D.J. Caruso,7
215,Carlos Saldanha,3
216,Rupert Wyatt,2
217,Wes Craven,19
218,Duncan Jones,3
219,Jonathan Levine,5
220,Alexander Payne,5
221,George Clooney,5
222,Tarsem Singh,5
223,Shawn Levy,9
224,Tomas Alfredson,3
225,Cameron Crowe,8
226,"Michael Apted, Curtis Hanson",1
227,Bradley Parker,1
228,Josh Trank,2
229,Marcus Dunstan,2
230,Baltasar Kormákur,4
231,Larry Charles,4
232,Josh Schwartz,1
233,Mark Tonderai,2
234,"Steve Martino, Mike Thurmeier",1
235,"James Mather, Steve Saint Leger",1
236,"Chris Renaud, Kyle Balda(co-director)",1
237,"Eric Darnell, Tom McGrath, Conrad Vernon",1
238,Peter Hedges,3
239,"Chris Butler, Sam Fell",1
240,David Koepp,4
241,Paul W.S. Anderson,9
242,Daniel Espinosa,2
243,M.J. Bassett,3
244,Akiva Schaffer,2
245,Jee-woon Kim,2
246,Joon-ho Bong,2
247,Chan-wook Park,2
248,Dan Scanlon,1
249,Kimberly Peirce,3
250,David Twohy,7
251,Spike Lee,20
252,Alonso Mayo,1
253,Benh Zeitlin,1
254,Stefan Ruzowitzky,1
255,Walter Salles,2
256,Lee Daniels,3
257,Pascal Laugier,1
258,Don Coscarelli,7
259,Nick Murphy,1
260,Steve McQueen,2
261,John Madden,10
262,Kathryn Bigelow,8
263,Richard Kelly,3
264,Jim Jarmusch,8
265,Tony Kaye,2
266,Richard Linklater,14
267,James Gunn,3
268,Patrick Hughes,1
269,Conor Allyn,1
270,Niels Arden Oplev,2
271,"Frank Miller, Robert Rodriguez",1
272,"Jon Lucas, Scott Moore",1
273,Taylor Hackford,10
