,Production,Production Counts
0,Miramax Films,124
1,Sony Pictures,126
2,Columbia Pictures,160
3,20th Century Fox,318
4,Universal Pictures,377
5,Amblin Entertainment,2
6,Orion Pictures Corporation,18
7,Universal City Studios,1
8,Buena Vista,89
9,New Line Cinema,130
10,Gramercy Pictures,15
11,Paramount Pictures,337
12,Warner Bros. Pictures,378
13,Dreamworks Distribution LLC,12
14,Walt Disney Pictures,80
15,Dreamworks,26
16,Dimension Films,28
17,Buena Vista Pictures,95
18,Sony,9
19,Warner Bros. Pictures/Legendary,1
20,Sony/MGM,1
21,DreamWorks/Paramount Studios,4
22,The Weinstein Company,52
23,IMAX,2
24,Sony/Columbia Pictures,7
25,Sony Pictures/Columbia,10
26,Paramount/DWA,1
27,Paramount Studios,20
28,Lionsgate,73
29,Summit Entertainment,40
30,FilmDistrict,8
31,Relativity Media,21
32,DreamWorks Studios,2
33,Universal Studios,28
34,Universal,34
35,Lionsgate Films,60
36,The Weinstein Co.,20
37,Open Road Films,18
38,Warner Bros.,88
39,Film District,2
40,CBS Films,11
41,MGM,162
42,Focus Features,75
43,A24 Films,4
44,LD Entertainment,2
45,Lionsgate/Roadside Attractions,2
46,Sony Pictures Classics,100
47,TriStar Pictures,40
48,Paramount,32
49,Anchor Bay Films,13
50,Entertainment One Pictures,1
51,Indomina Media Inc.,1
52,IFC,9
53,Uncork&#39;d Entertainment,3
54,Tribeca Films,5
55,RLJ Entertainment,1
56,Music Box Films,14
57,Xlrator Media,3
58,Animation Company,1
59,Indican,1
60,Image Entertainment,36
61,Fox Searchlight,33
62,LionsGate Entertainment,43
63,IFC Films,87
64,Radius-TWC,9
65,N/A,924
66,The Film Arcade,3
67,Paris Filmes,1
68,Paramount Pictures/MGM,1
69,Lionsgate/Summit Entertainment,2
70,United Artists,82
71,Twentieth Century Fox,16
72,Universal Films,1
73,MGM/UA,20
74,Hollywood/Buena Vista,1
75,Lions Gate Films,54
76,Buena Vista Distribution Compa,14
77,Fox Searchlight Pictures,55
78,Picturehouse,15
79,Sony Pictures Releasing,12
80,Disney/Pixar,2
81,Paramount Vantage,16
82,Warner Bros. Pictures/Village Roadshow,4
83,Warner Bros. Pictures/Dark Castle,1
84,Sony Pictures/Screen Gems,9
85,Overture Films,15
